baseline,horizon_minutes,records,violations,alerts,tp,fp,fn,precision_alert,recall_alert,f1_alert,alert_rate,actionable_alerts,actionable_rate_over_alerts
gnn_proactive,-1,51991550,8042609,11564699,7148371,4416328,894238,0.6181199355037256,0.8888124487961556,0.7291537420639285,0.22243420325033586,7148371,0.6181199355037256
no_action,-1,51991550,8042609,0,0,0,8042609,0.0,0.0,0.0,0.0,0,0.0
reactive,-1,51991550,8042609,8042609,8042609,0,0,1.0,1.0,1.0,0.15469069493023385,0,0.0
gnn_proactive,3,17330950,2680871,2831870,2139970,691900,540901,0.7556738127103292,0.7982368416831694,0.7763724071201604,0.16339958282725414,2139970,0.7556738127103292
no_action,3,17330950,2680871,0,0,0,2680871,0.0,0.0,0.0,0.0,0,0.0
reactive,3,17330950,2680871,2680871,2680871,0,0,1.0,1.0,1.0,0.15468690406469351,0,0.0
gnn_proactive,10,17330950,2680871,4253410,2538379,1715031,142492,0.5967868134038337,0.9468486174829002,0.7321246427711828,0.24542278409435145,2538379,0.5967868134038337
no_action,10,17330950,2680871,0,0,0,2680871,0.0,0.0,0.0,0.0,0,0.0
reactive,10,17330950,2680871,2680871,2680871,0,0,1.0,1.0,1.0,0.15468690406469351,0,0.0
gnn_proactive,30,17329650,2680867,4479419,2470022,2009397,210845,0.5514157081532225,0.9213519357730167,0.6899227209639391,0.2584829468569763,2470022,0.5514157081532225
no_action,30,17329650,2680867,0,0,0,2680867,0.0,0.0,0.0,0.0,0,0.0
reactive,30,17329650,2680867,2680867,2680867,0,0,1.0,1.0,1.0,0.15469827723006524,0,0.0
