bin,count,mean_pred,obs_freq,calibration_error_abs
"(-0.001, 0.1]",385814,0.09647897142593054,0.0009097648089493901,0.09556920661698115
"(0.1, 0.2]",32879947,0.1399207271169207,0.005172818557158867,0.13474790855976182
"(0.2, 0.3]",4147501,0.24085369752387514,0.05519154787425006,0.18566214964962507
"(0.3, 0.4]",2177592,0.34838292794287223,0.1267170342286342,0.22166589371423803
"(0.4, 0.5]",2027400,0.4484685047917657,0.18528213475387195,0.26318637003789375
"(0.5, 0.6]",1411670,0.5471945737610097,0.27630961910361485,0.2708849546573948
"(0.6, 0.7]",1212161,0.6501754640744077,0.38506766015405547,0.26510780392035227
"(0.7, 0.8]",1392332,0.7525572004469898,0.4979451739958573,0.2546120264511325
"(0.8, 0.9]",2066585,0.8483269487166022,0.6479951223879008,0.2003318263287014
"(0.9, 1.0]",4290548,0.96705865688075,0.9561543187490269,0.01090433813172309
